Reference Number,Property Name,NHL Designated Date,Restricted Address,Category of Property,State,County,City ,Street & Number,External Link,Federal Agencies,Other Names,Park Name
69000293,Executive Office Building,11/11/1971,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Pennsylvania Ave. and 17th St., NW",https://catalog.archives.gov/id/117692126, GENERAL SERVICES ADMINISTRATION," State, War and Navy Building",
73002085,Franklin School,6/19/1996,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"13th and K Sts., NW.",https://catalog.archives.gov/id/117692154,,,
66000856,Gallaudet College Historic District,12/21/1965,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Florida Ave. and 7th St., NE.",,," Main Central Building,Gallaudet College;See Also:Gallaudet C",
91002057,General Federation of Women's Clubs Headquarters,12/4/1991,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1734 N St., NW.",https://catalog.archives.gov/id/117691815,, Miles Mansion,
69000311,General Post Office,11/11/1971,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"E and F Sts. between 7th and 8th Sts., NW",https://catalog.archives.gov/id/117692174, GENERAL SERVICES ADMINISTRATION, Tariff Commission Building,
67000025,Georgetown Historic District,5/28/1967,0,DISTRICT,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Roughly bounded by Whitehaven St., Rock Creek Park, Potomac River, and Georgetown University campus",https://catalog.archives.gov/id/117692178,, See Also:Dumbarton Oaks Park and Montrose Park,
74002161,"Gompers, Samuel, House",5/30/1974,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"2122 1st St., NW",https://catalog.archives.gov/id/117691821,,,
76002129,"Grimke, Charlotte Forten, House",5/11/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1608 R St., NW.",https://catalog.archives.gov/id/117691823,,,
71001003,"Healy Building, Georgetown University",12/23/1987,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Georgetown University campus, junction of O and Thirty-seventh Sts.",https://catalog.archives.gov/id/117692208,,,
74002163,"Howard, Gen. Oliver Otis, House",5/30/1974,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,607 Howard Pl.,https://catalog.archives.gov/id/117692229,, Howard Hall,
72001424,"Hughes, Charles Evans, House",11/28/1972,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"2223 R St., NW",https://catalog.archives.gov/id/117691829,,,
05001205,Lafayette Building,9/1/2005,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,811 Vermont Ave. NW,https://catalog.archives.gov/id/117691833,,,
70000833,Lafayette Square Historic District,8/29/1970,0,DISTRICT,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Roughly between 15th and 17th Sts. and H St. and State and Treasury Places, exclusive of the White House and its grounds",https://catalog.archives.gov/id/117691835, NATIONAL PARK SERVICE; DEPARTMENT OF THE TREASURY, See Also:74002155;73002075;74002156;66000858;69000300;730020,National Mall
73002100,McCormick Apartments,5/11/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1785 Massachusetts Ave., NW",https://catalog.archives.gov/id/117692315,, Mellon Apartment;Andrew Mellon Building;1785 Massachusetts A,
72001427,Memorial Continental Hall,11/28/1972,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"17th St., between C and D Sts., NW",https://catalog.archives.gov/id/117691841,, Site of Washington Conference of 1921-22,
74000273,Meridian Hill Park,4/19/1994,0,DISTRICT,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Bounded by 16th, Euclid, 15th, and W Sts., NW.",https://catalog.archives.gov/id/117692321, NATIONAL PARK SERVICE,,Rock Creek Park
66000902,National Portrait Gallery,1/12/1965,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"F and G Sts. between 7th and 9th Sts., NW",https://catalog.archives.gov/id/117691853, SMITHSONIAN INSTITUTION, Old Patent Office;National Collection of Fine Arts,
72001535,National War College,11/28/1972,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"P St., within Fort Lesley J. McNair",https://catalog.archives.gov/id/117691847, DEPARTMENT OF THE ARMY, Army War College,
66000863,"Octagon, The",12/19/1960,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1799 New York Ave., NW",https://catalog.archives.gov/id/117691849,, Colonel John Tayloe House,
66000864,Old Naval Observatory,1/12/1965,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"23rd and E Sts., NW",https://catalog.archives.gov/id/117691851, DEPARTMENT OF THE NAVY,,
100006252,Pan American Union Headquarters,1/13/2021,0,building,DISTRICT OF COLUMBIA,District of Columbia,Washington,"17th St. between C St. and Constitution Ave., NW.",,,,
69000312,Pension Building,2/4/1985,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"4th and 5th Sts. between F and G Sts., NW",https://catalog.archives.gov/id/117692407, GENERAL SERVICES ADMINISTRATION,,
91002048,"Perkins, Frances, House",7/17/1991,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"2326 California St., NW.",https://catalog.archives.gov/id/117691857,,,
66000852,PHILADELPHIA (gundelo),1/20/1961,0,STRUCTURE,DISTRICT OF COLUMBIA,District of Columbia,Washington,"14th St. and Constitution Ave., NW",https://catalog.archives.gov/id/117691859, SMITHSONIAN INSTITUTION, The U.S. Gundelo PHILADELPHIA;Continental Gondala;The Philad,
69000300,Renwick Museum,11/11/1971,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"NE corner, 17th St. and Pennsylvania Ave., NW",https://catalog.archives.gov/id/117692444, SMITHSONIAN INSTITUTION, Old Corcoran Art Gallery,
66000866,"Richards, Zalmon, House",12/21/1965,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1301 Corcoran St., NW",https://catalog.archives.gov/id/117691865,,,
72001432,Sewall-Belmont House National Historic Site,11/30/1972,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"144 Constitution Ave., NE.",https://catalog.archives.gov/id/117692468, NATIONAL PARK SERVICE,,Sewall-Belmont House National Historic Site
66000867,Smithsonian Building,1/12/1965,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Jefferson Dr. at 10th St., SW",https://catalog.archives.gov/id/117691871, SMITHSONIAN INSTITUTION, Smithsonian Institution Building,
01001045,"Sousa, John Philip, Junior High School",8/7/2001,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington DC,"3650 Ely Place, SE",https://catalog.archives.gov/id/117691873,,,
79003101,St. Elizabeths Hospital,12/14/1990,0,DISTRICT,DISTRICT OF COLUMBIA,District of Columbia,Washington,"2700 Martin Luther King Jr., Ave., SE.",https://catalog.archives.gov/id/117692494, HOUSING AND URBAN DEVELOPMENT DEPARTMENT,,
66000868,St. John's Church,12/19/1960,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"16th and H Sts., NW",https://catalog.archives.gov/id/117691877,, St. John's Church (Episcopal),
76002131,St. Luke's Episcopal Church,5/11/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"15th and Church Sts., NW",https://catalog.archives.gov/id/117691879,,,
75002055,"Terrell, Mary Church, House",5/15/1975,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"326 T St., NW",https://catalog.archives.gov/id/117691885,,,
91002049,Trades Hall of National Training School for Women and Girls,7/17/1991,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"601 50th St., NE.",https://catalog.archives.gov/id/117691845,, Nannie Helen Burroughs School,
66000871,Tudor Place,12/19/1960,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1644 31st St., NW",https://catalog.archives.gov/id/117691887,,,
71001007,U.S. Department of the Treasury,11/11/1971,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1500 Pennsylvania Ave., NW",https://catalog.archives.gov/id/117691897, DEPARTMENT OF THE TREASURY, See Also:Lafayette Square Historic District,
72001435,U.S. Marine Corps Barracks and Commandant's House,5/11/1976,0,DISTRICT,DISTRICT OF COLUMBIA,District of Columbia,Washington,"8th and I Sts., SE",https://catalog.archives.gov/id/117692560, DEPARTMENT OF DEFENSE, US Marine Barracks;Marine Corps Commandant's House,
74002176,U.S. Soldiers' and Airmen's Home,11/7/1973,0,DISTRICT,DISTRICT OF COLUMBIA,District of Columbia,Washington,"Rock Creek Church Rd., NW",https://catalog.archives.gov/id/117691901,, U.S. Military Asylum;The Old Soldiers' Home,
76002132,"Underwood, Oscar W., House",12/8/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"2000 G St., NW",https://catalog.archives.gov/id/117691891,," Art Department Building,George Washington University;Washing",
00001032,United Mine Workers of America,4/5/2005,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,900 Fifteenth St. NW,https://catalog.archives.gov/id/117692578,, University Club,
90000332,USS BARRY (DD-933),5/11/1976,0,STRUCTURE,DISTRICT OF COLUMBIA,District of Columbia,Washington,Washington Navy Yard,, DEPARTMENT OF THE NAVY, BARRY,
87002594,USS SEQUOIA (yacht),12/23/1987,0,STRUCTURE,DISTRICT OF COLUMBIA,District of Columbia,Washington,Hains Point,https://catalog.archives.gov/id/117691867,, Presidential Yacht SEQUOIA;AG-23,
73002123,Washington Aqueduct,11/7/1973,0,STRUCTURE,DISTRICT OF COLUMBIA,District of Columbia,Washington,"5900 MacArthur Blvd., NW",https://catalog.archives.gov/id/117691905, ARMY CORPS OF ENGINEERS, See Also:Cabin John Aqueduct,
73002124,Washington Navy Yard,11/7/1973,0,DISTRICT,DISTRICT OF COLUMBIA,District of Columbia,Washington,"8th and M Sts., SE",https://catalog.archives.gov/id/117692617, DEPARTMENT OF THE NAVY,,
76002133,"White, David, House",1/7/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1459 Girard St., NW",https://catalog.archives.gov/id/117691911,,,
66000873,"Wilson, Woodrow, House",7/19/1964,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"2340 S St., NW",https://catalog.archives.gov/id/117691913,,,
76002134,Windsor Lodge,12/8/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"2139--2141 Wyoming Ave., NW",https://catalog.archives.gov/id/117691793,," William Edgar Borah Apartment,No. 21;Chancellery Cooperative",
76002135,"Woodson, Carter G., House",5/11/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1538 9th St., NW",https://catalog.archives.gov/id/117691915,,,
76002136,"Woodward, Robert Simpson, House",1/7/1976,0,BUILDING,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1513 16th St., NW",https://catalog.archives.gov/id/117691917,,,
74002226,Nan Madol,9/16/1985,0,DISTRICT,FED. STATES,Ponape,Temwen Island,E side of Temwen Island,https://catalog.archives.gov/id/131517797,,,
76002267,"Truk Lagoon Underwater Fleet, Truk Atoll",2/4/1985,0,DISTRICT,FED. STATES,Truk,Truk,Truk Lagoon,https://catalog.archives.gov/id/131517814,,,
74000655,"Bethune, Mary McLeod, Home",12/2/1974,0,BUILDING,FLORIDA,Volusia,Daytona Beach,Bethune-Cookman College campus,https://catalog.archives.gov/id/77841935,, Mary McLeod Bethune Foundation,
72000350,Bok Mountain Lake Sanctuary and Singing Tower,4/19/1993,0,STRUCTURE,FLORIDA,Polk,Lake Wales,3 mi. N of Lake Wales,https://catalog.archives.gov/id/77843776,, Bok Tower;Bok Tower Gardens,
84003872,Cape Canaveral Air Force Station,4/16/1984,0,DISTRICT,FLORIDA,Brevard,Cocoa,"Launch Pads 5, 6, 13, 14, 19, 26, 34 and Mission Control Center",https://catalog.archives.gov/id/77841869, AIR FORCE; NATIONAL AERONAUTICS &amp; SPACE ADMINISTRATION,,
70000844,Cathedral of St. Augustine,4/15/1970,0,BUILDING,FLORIDA,St. Johns,St. Augustine,Cathedral St. between Charlotte and St. George Sts.,https://catalog.archives.gov/id/77841929,,,
70000178,Crystal River Indian Mounds,6/21/1990,0,SITE,FLORIDA,Citrus,Crystal River,2 mi. NW of Crystal River on U.S. 19-98,https://catalog.archives.gov/id/77841873,, Crystal River Historic Memorial;Crystal River Site,
72000353,Dade Battlefield Historic Memorial,11/7/1973,0,SITE,FLORIDA,Sumter,Bushnell,1 mi. W of Bushnell off U.S. 301,https://catalog.archives.gov/id/77844116,, Dade's Massacre;Dade Battlefield,
15000312,"Douglas, Marjory Stoneman, House",2/27/2015,0,,FLORIDA,Dade,Miami,3744 Stewart Ave.,,,,
100006234,Dudley Farm,1/13/2021,0,district,FLORIDA,Alachua,Newberry,18730 W. Newberry Rd.,,,,
88001823,El Centro Espanol de Tampa,6/3/1988,0,BUILDING,FLORIDA,Hillsborough,Tampa,1526--1536 E. Seventh Ave.,https://catalog.archives.gov/id/77841888,,,
74000632,El Centro Espanol of West Tampa,6/10/1988,0,BUILDING,FLORIDA,Hillsborough,Tampa,2306 N. Howard St.,https://catalog.archives.gov/id/77842627,,,
72000345,"Flagler, Henry Morrison, House; Whitehall",2/16/2000,0,BUILDING,FLORIDA,Palm Beach,Palm Beach,Whitehall Way,https://catalog.archives.gov/id/77843543,, Whitehall,
75000568,Florida Southern College Architectural District,3/2/2012,0,DISTRICT,FLORIDA,Polk,Lakeland,111 Lake Hollingsworth Dr.,https://catalog.archives.gov/id/77843754,,,
66000263,Fort Barrancas Historical District,10/9/1960,0,DISTRICT,FLORIDA,Escambia,Pensacola,U.S. Naval Air Station,https://catalog.archives.gov/id/77842368, NATIONAL PARK SERVICE; DEPARTMENT OF THE NAVY, Fort San Carlos de Barrancas,Gulf Islands
72000318,Fort Gadsden Historic Memorial,5/15/1975,0,SITE,FLORIDA,Franklin,Sumatra,6 mi. SW of Sumatra,https://catalog.archives.gov/id/77842438,, Negro Fort;British Fort,
04000320,Fort King Site,2/24/2004,1,SITE,FLORIDA,Marion,Ocala,Address Restricted,,, Camp King; Cantonment King; 8MR60,
94001645,"Fort Mose Site, Second",10/12/1994,1,SITE,FLORIDA,St. Johns,St. Augustine,Address Restricted,,, 8-SJ-40B;Garcia Real de Santa Teresa de Mose,
66000271,Fort San Marcos de Apalache,11/13/1966,0,SITE,FLORIDA,Wakulla,St. Marks,18 mi. S of Tallahassee,https://catalog.archives.gov/id/77841939,,,
66000268,Fort Walton Mound,7/19/1964,1,SITE,FLORIDA,Okaloosa,Fort Walton Beach,Address Restricted,,,,
71000244,Fort Zachary Taylor,5/31/1973,0,STRUCTURE,FLORIDA,Monroe,Key West,U.S. Naval Station,https://catalog.archives.gov/id/77843281, DEPARTMENT OF THE NAVY,,
79000665,Freedom Tower,10/6/2008,0,BUILDING,FLORIDA,Dade,Miami,600 Biscayne Blvd,https://catalog.archives.gov/id/77843179,,,
70000845,Gonzalez-Alvarez House,4/15/1970,0,BUILDING,FLORIDA,St. Johns,St. Augustine,14 St. Francis St.,https://catalog.archives.gov/id/77841923,, The Oldest House,
91002063,GOVERNOR STONE (schooner),12/4/1991,0,STRUCTURE,FLORIDA,Walton,Sandestin,Baytown dock,,, Two-masted schooner GOVERNOR STONE,
89001428,HA. 19 (Japanese Midget Submarine),6/30/1989,0,STRUCTURE,FLORIDA,Monroe,Key West,NAS Key West,https://catalog.archives.gov/id/40970931, DEPARTMENT OF THE NAVY," Japanese Midget Submarine ""C""",
68000023,"Hemingway, Ernest, House",11/24/1968,0,BUILDING,FLORIDA,Monroe,Key West,907 Whitehead St.,https://catalog.archives.gov/id/77841905,,,
75002067,Hotel Ponce De Leon,2/17/2006,0,BUILDING,FLORIDA,St. Johns,St. Augustine,"74 King St.,Bounded by King, Valencia, Sevilla, and Cordova Sts.;See Also:St. Augustine Historic District",https://catalog.archives.gov/id/77844041,, See Also:St. Augustine Town Plan Historic District; Flagler College,
91002047,"Hurston, Zora Neale, House",12/4/1991,0,BUILDING,FLORIDA,St. Lucie,Fort Pierce,1734 School Ct.,https://catalog.archives.gov/id/77841931,,,
92001879,INGHAM (USCGC),4/27/1992,0,STRUCTURE,FLORIDA,Monroe,Key West,East quay at the Truman Waterfront (at the end of Southard St.),https://catalog.archives.gov/id/77841907,, U.S. Coast Guard Cutter INGHAM (WPG-35),
70000846,Llambias House,4/15/1970,0,BUILDING,FLORIDA,St. Johns,St. Augustine,31 St. Francis St.,https://catalog.archives.gov/id/77841925,, Fernandez-Llambias House,
94001650,MAPLE LEAF (Shipwreck Site),10/12/1994,1,SITE,FLORIDA,Duval,Mandarin,Address Restricted,, DEPARTMENT OF THE ARMY, 8DU8032,
80000961,Mar-A-Lago National Historic Landmark,12/23/1980,0,BUILDING,FLORIDA,Palm Beach,Palm Beach,1100 S. Ocean Blvd.,https://catalog.archives.gov/id/77841914,,,
01001534,"Miami Circle at Brickell Point Site, The",1/16/2009,0,SITE,FLORIDA,Dade,Miami,401 Brickell Ave,https://catalog.archives.gov/id/77843132,, Miami Circle; Miami Midden No. 2; 8DA12,
72000306,Miami-Biltmore Hotel,6/19/1996,0,BUILDING,FLORIDA,Dade,Coral Gables,1210 Anastasia Ave.,https://catalog.archives.gov/id/77843207,,,
06000979,Mud Lake Canal,9/20/2006,0,SITE,FLORIDA,Monroe,Flamingo,"Cape Sable, Everglades National Park",https://catalog.archives.gov/id/77841903, NATIONAL PARK SERVICE, Bear Lake Canal; Bear Lake Archeological District EVER-192/8MO32,Everglades
16000857,Norman Film Manufacturing Company,10/31/2016,0,district,FLORIDA,Duval,Jacksonville,6337 Arlington Road,,, Norman Studios; Norman Film Studios,
66000269,Okeechobee Battlefield,7/4/1961,0,SITE,FLORIDA,Okeechobee,Okeechobee,4 mi. SE of Okeechobee on U.S. 441,https://catalog.archives.gov/id/77841912,,,
66000265,Pelican Island National Wildlife Refuge,5/23/1963,0,SITE,FLORIDA,Indian River,Sebastian,E of Sebastian in the Indian River,https://catalog.archives.gov/id/77841890, FISH AND WILDLIFE SERVICE,,
76000595,Pensacola Naval Air Station Historic District,12/8/1976,0,DISTRICT,FLORIDA,Escambia,Pensacola,Pensacola Naval Air Station,https://catalog.archives.gov/id/77841878, DEPARTMENT OF THE NAVY, Pensacola Navy Yard,
66000264,Plaza Ferdinand VII,10/9/1960,0,SITE,FLORIDA,Escambia,Pensacola,Palafox St. between Government and Zaragossa Sts.,https://catalog.archives.gov/id/77841880,,,
72000355,Ponce De Leon Inlet Lightstation,8/5/1998,0,BUILDING,FLORIDA,Volusia,Ponce de Leon Inlet,"4931 S. Peninsula Dr., U.S. Coast Guard Reservation",https://catalog.archives.gov/id/77844172, COAST GUARD, Mosquito Inlet Lighthouse,
70000176,"Rawlings, Marjorie Kinnan, House and Farm Yard",9/20/2006,0,BUILDING,FLORIDA,Alachua,Cross Creek,18700 South County Rd. 325,https://catalog.archives.gov/id/77841952,,,
66000270,Safety Harbor Site,7/19/1964,0,SITE,FLORIDA,Pinellas,Safety Harbor,Phillipe Park,https://catalog.archives.gov/id/77841918,,,
66000266,San Luis de Apalache,10/9/1960,0,SITE,FLORIDA,Leon,Tallahassee,2 mi. W of Tallahassee,https://catalog.archives.gov/id/77841892,, San Luis de Talimali,
70000847,St. Augustine Town Plan Historic District,4/15/1970,0,district,FLORIDA,St. Johns,St. Augustine,"Roughly bounded by Grove Ave, the Matanzas River, and South and Washington Sts.",https://catalog.archives.gov/id/77844023,, St. Augustine Historic District;See Also:70000845;70000844;7,
72000322,Tampa Bay Hotel,5/11/1976,0,BUILDING,FLORIDA,Hillsborough,Tampa,401 W. Kennedy Blvd.,https://catalog.archives.gov/id/77842615,," University of Tampa,Plant Hall",
14000920,The Research Studio (Maitland Art Center),8/25/2014,0,BUILDING,FLORIDA,Orange,Maitland,231 W. Packwood Ave.,,,,
77000401,U.S. Car. No. 1,2/4/1985,0,OBJECT,FLORIDA,Broward,Fort Lauderdale,3398 SW. 9th Ave.,https://catalog.archives.gov/id/77842169,, FERDINAND MAGELLAN,
70000181,Vizcaya,4/19/1994,0,DISTRICT,FLORIDA,Dade,Miami,3251 S. Miami Ave.,https://catalog.archives.gov/id/77843157,, James Deering Estate;See Also:Vizcaya (Boundary Increase),
87000810,Windover Archeological Site (8BR246),5/28/1987,1,SITE,FLORIDA,Brevard,Titusville,Address Restricted,,, 8BR246,
74000641,Ybor City Historic District,12/14/1990,0,DISTRICT,FLORIDA,Hillsborough,Tampa,"Roughly bounded by 6th Ave., 13th St., 10th Ave. and 22nd St., E. Broadway between 13th and 22nd Sts.",https://catalog.archives.gov/id/77842590,,,
71000285,Augusta Canal Industrial District,12/22/1977,0,DISTRICT,GEORGIA,Richmond,Augusta,Along the west bank of the Savannah River from the Richmond-Columbia county line to 10th and Fenwick Sts.,https://catalog.archives.gov/id/93209339,,,
72000400,Bellevue,11/7/1973,0,BUILDING,GEORGIA,Troup,La Grange,204 Ben Hill St.,https://catalog.archives.gov/id/93209713,, Benjamin Harvey Hill House,
71000286,"Benet, Stephen Vincent, House",11/11/1971,0,BUILDING,GEORGIA,Richmond,Augusta,2500 Walton Way,https://catalog.archives.gov/id/93206795,," President's Home,Augusta College;Commandant's House;Augusta",
73002292,Calhoun Mine,11/7/1973,0,STRUCTURE,GEORGIA,Lumpkin,Dahlonega,3 mi. S of Dahlonega off GA 60,https://catalog.archives.gov/id/93206783,,,
76000610,Central of Georgia Depot and Trainshed,12/8/1976,0,DISTRICT,GEORGIA,Chatham,Savannah,W. Broad and Liberty Sts.,,, See Also:Central of Georgia Railroad: Savannah Shops and Ter,
78000970,Central of Georgia Railroad: Savannah Shops and Terminal Facilities,6/2/1978,0,DISTRICT,GEORGIA,Chatham,Savannah,W. Broad St. and Railroad Ave.,https://catalog.archives.gov/id/93206742,, See Also:70000199;76000610,
70000199,Central of Georgia Railway Company Shop Property,6/2/1978,0,DISTRICT,GEORGIA,Chatham,Savannah,Between W. Jones St. and Louisville Rd.,https://catalog.archives.gov/id/93207277,, See Also:Central of Georgia Railroad: Savannah Shops and Ter,
71000273,Chieftains,11/7/1973,0,BUILDING,GEORGIA,Floyd,Rome,80 Chatillon Rd.,https://catalog.archives.gov/id/93207984,, Major Ridge House,
71000287,College Hill,11/11/1971,0,BUILDING,GEORGIA,Richmond,Augusta,2116 Wrightsboro Rd.,,, George Walton House;Harper House;Walton-Harper House,
78000995,Columbus Historic Riverfront Industrial District,6/2/1978,0,DISTRICT,GEORGIA,Muscogee,Columbus,Columbus River from 8th St. N. to 38th St.,https://catalog.archives.gov/id/93206789,, See Also:Columbus Iron Works,
77000428,Dixie Coca-Cola Bottling Company Plant,5/4/1983,0,BUILDING,GEORGIA,Fulton,Atlanta,125 Edgewood Ave.,https://catalog.archives.gov/id/93208154,," Baptist Student Center,Georgia State University",
86001371,Dorchester Academy Boys' Dormitory,9/20/2006,0,BUILDING,GEORGIA,Liberty,Midway,8787 East Oglethorpe Highway (US 84),https://catalog.archives.gov/id/93206779,,,
66000272,Etowah Mounds,7/19/1964,0,SITE,GEORGIA,Bartow,Cartersville,N bank of Etowah River,https://catalog.archives.gov/id/93206732,, Etowah;Etowah Valley District,
70000200,Fort James Jackson,2/16/2000,0,BUILDING,GEORGIA,Chatham,Savannah,Islands Expwy.,https://catalog.archives.gov/id/93207302,, Fort Jackson Maritime Museum; Fort Oglethorpe,
74002230,Fox Theatre,5/11/1976,0,BUILDING,GEORGIA,Fulton,Atlanta,600 Peachtree St.,https://catalog.archives.gov/id/93208180,, See Also:Fox Theatre Historic District,
71001099,Georgia State Capitol,11/7/1973,0,BUILDING,GEORGIA,Fulton,Atlanta,Capitol Sq.,https://catalog.archives.gov/id/93208194,,,
76000613,"Grady, Henry W., House",5/11/1976,0,BUILDING,GEORGIA,Clarke,Athens,634 Prince Ave.,https://catalog.archives.gov/id/93206752,,,
74000664,Green-Meldrim House,5/11/1976,0,BUILDING,GEORGIA,Chatham,Savannah,Macon and Bull Sts.,https://catalog.archives.gov/id/93207310,, St. John's Parish House,
66000281,"Harris, Joel Chandler, House",12/19/1962,0,BUILDING,GEORGIA,Fulton,Atlanta,"1050 Gordon St., SW",https://catalog.archives.gov/id/93206765,, The Wren's Nest;Snap Bean Farm,
00000261,Herndon Home,2/16/2000,0,BUILDING,GEORGIA,Fulton,Atlanta,"587 University Place, NW",,,,
72000385,Jekyll Island Club,6/16/1978,0,DISTRICT,GEORGIA,Glynn,Jekyll Island,Between Riverview Dr. and Old Village Blvd.,https://catalog.archives.gov/id/93208434,,,
71000259,Johnston-Hay House,11/7/1973,0,BUILDING,GEORGIA,Bibb,Macon,934 Georgia Ave.,https://catalog.archives.gov/id/93207033,, P.L. Hay House;William B. Johnston-Hay House,
74000677,"King, Martin Luther, Jr., Historic District",5/5/1977,0,DISTRICT,GEORGIA,Fulton,Atlanta,"Bounded roughly by Irwin, Randolph, Edgewood, Jackson, and Auburn Aves.",https://catalog.archives.gov/id/93208244, NATIONAL PARK SERVICE,,Martin Luther King
66000280,Kolomoki Mounds,7/19/1964,0,SITE,GEORGIA,Early,Blakely,"8 mi. N of Blakely on U.S. 27, Kolomoki Mounds State Park",https://catalog.archives.gov/id/93206757,,,
70000868,Lapham-Patterson House,11/7/1973,0,BUILDING,GEORGIA,Thomas,Thomasville,626 N. Dawson St.,https://catalog.archives.gov/id/93209649,, Scarborough House;C.W. Lapham House,
70000216,Liberty Hall,5/4/1983,0,BUILDING,GEORGIA,Taliaferro,Crawfordville,Alexander H. Stephens Memorial State Park,https://catalog.archives.gov/id/93209570,, Bachelor's Hall,
66000276,"Low, Juliette Gordon, Historic District",6/23/1965,0,DISTRICT,GEORGIA,Chatham,Savannah,"10 Oglethorpe Ave., E., 330 Drayton St., 329 Abercorn St.",https://catalog.archives.gov/id/93206748,, Wayne--Gordon House: First Girl Scout Headquarters; Andrew Low House and Carrige House,
76000646,Meadow Garden,12/21/1981,0,BUILDING,GEORGIA,Richmond,Augusta,1230 Nelson St.,https://catalog.archives.gov/id/93209387,, George Walton House,
70000869,New Echota,11/7/1973,0,DISTRICT,GEORGIA,Gordon,Calhoun,NE of Calhoun on GA 225,https://catalog.archives.gov/id/93206775,,,
69000049,Octagon House,11/7/1973,0,BUILDING,GEORGIA,Muscogee,Columbus,527 1st Ave.,https://catalog.archives.gov/id/93206791,, May's Folly,
70000194,Old Governor's Mansion,11/7/1973,0,BUILDING,GEORGIA,Baldwin,Milledgeville,120 S. Clark St.,https://catalog.archives.gov/id/93206861,, Executive Mansion,
72000398,Old Medical College Building,6/19/1996,0,BUILDING,GEORGIA,Richmond,Augusta,Telfair and 6th Sts.,https://catalog.archives.gov/id/93209389,, Augusta Garden Center,
76000611,Owens-Thomas House,5/11/1976,0,BUILDING,GEORGIA,Chatham,Savannah,124 Abercorn St.,https://catalog.archives.gov/id/93206738,, Richardson-Owens-Thomas House,
97001273,Pine Mountain State Park,9/25/1997,0,DISTRICT,GEORGIA,Harris,Pine Mountain,2790 Georgia Hwy. 190,https://catalog.archives.gov/id/93206777,," FDR State Park, Western Half",
71000265,Raines-Carmichael House,11/7/1973,0,BUILDING,GEORGIA,Bibb,Macon,1183 Georgia Ave.,https://catalog.archives.gov/id/93207083,, Carmichael House;Raines-Miller-Carmichael House,
73000647,"Ross, John, House",11/7/1973,0,BUILDING,GEORGIA,Walker,Rossville,Lake Ave. and Spring St.,https://catalog.archives.gov/id/93206813,,,
100002962,Savannah Historic District,11/13/1966,0,district,GEORGIA,Chatham,Savannah,"Bounded by E. Broad, Gwinnett, and W. Broad Sts. and the Savannah River",,,,
70000201,"Scarbrough, William, House",11/7/1973,0,BUILDING,GEORGIA,Chatham,Savannah,41 W. Broad St.,https://catalog.archives.gov/id/93207349,,,
